reviewId,content,score
83c7935d-d791-4d9c-b738-c7984992491a,It is a best app,5
2d56d1a3-a4d0-4482-ae45-8394d2b8951f,"I love Insta, my No1 social media app❤️",5
72132fda-acdb-422d-a1d0-6bee57635541,I would have given you 0 stars if i could. Fix your algorithm I'm being spammed by sex workers acounts with sketchy Links that Instagram don't see a problem in when I report it. I'm starting to hate this app and it's stupid algorithm. Just make the mobile version like the desktop version and stop this shitfest!,1
61104d62-448a-471d-b1c0-79fef17322e2,"THIS IS A VERY GOOD APP,, 👌🙂",5
a807b018-4399-4971-bebf-c876a6bd1583,Nice app,5
fb08a747-51d6-4cfa-aaa5-76f30843110e,Good reel and good dance,5
993bfed8-0147-4c52-9570-ed5da1f6b1e7,It's a Crazy App,5
b7a9c8ab-5bce-4805-a6ae-2767d7e6522c,Worst I want to uninstall this,1
5dd44a95-72bf-4ed6-a07b-3a542005a170,very nice very good app,5
d55410ec-64aa-4ebe-a080-12d4adf6671f,"I love the app, they used to hack my account.. Am waiting for them to verify the account 🥰🥰🥰",5
a28fcb9c-f689-4224-8c39-4dd014f034b6,This app is good,5
777f1da3-de5c-497e-8a60-84f841e84122,म्,5
05ad457d-e9b8-4ab5-90e5-141ea4b46c31,Nice,5
1617a984-e5cf-4be2-930e-7c802032961e,"No much talk, I suppose give 7 🌟 but it's end in 5",5
aeffc694-b576-4313-8dda-025bb73581f9,Time west app,5
174d5fa2-dbeb-467b-9ccb-0cf94ceaf354,Gjj,5
066d943b-e5ef-44b4-96d6-e0f33c6856d7,Reply problem please solved this problem,1
99ef68d8-2f05-4ea7-91bf-7a0731f7cf40,I have seen lots of people using instagram.but that time I use only FB so that time my thinking is not so good about instagram becoz I never use Instagram that time..but now my experience says that instagram is too good..I really enjoy using Instagram....❤❤❤❤❤❤❤,5
d050951c-8b16-4505-8711-3ab8f9ede22e,It's awesome,5
bdd5a3e7-9c75-44a9-84ad-2a8ef8d181d4,Simply Awsome !,5
ea0e4eab-88b2-4cdd-afa6-51a4071b4b16,💗,3
f4f89e7f-3e4e-4fc1-8abf-6fc2b99aa75a,It's hanging,1
8986e913-28d3-403f-80d2-dab1e183ae43,"Internet connectivity gets bugged way too often , re-downloading fixes it but not for long and you'll have to do the same again over and over. Ok so now re-downloading also doesn't help very nice 🙂",1
3c051584-b371-4a3f-9d91-35eefbd46411,More time spend on this,5
44baa548-3ff3-4133-aef3-5945ea6eb33a,I love this app,5
